Percentiles,test,t
0.1622200194913913,B 10G,73200
0.16246157946906783,B 10G,73300
0.16271979875554962,B 10G,73400
0.16296135873322615,B 10G,73500
0.16323623732851325,B 10G,73600
0.1634444786885792,B 10G,73700
0.16371102762946366,B 10G,73800
0.16396924691594547,B 10G,73900
0.1641941475848167,B 10G,74000
0.16446902618010378,B 10G,74100
0.16470225650337766,B 10G,74200
0.16495214613545683,B 10G,74300
0.16518537645873071,B 10G,74400
0.16544359574521253,B 10G,74500
0.1657184743404996,B 10G,74600
0.16592671570056558,B 10G,74700
0.16617660533264475,B 10G,74800
0.16646814323673711,B 10G,74900
0.16669304390560835,B 10G,75000
0.16693460388328488,B 10G,75100
0.16720115282416934,B 10G,75200
